ID,Department,Feature,Frontend Gap,Backend Gap,Blocker Type,Severity,Priority,Notes
GAP-020,Store Ops,Approval Queue: not created if resolve_warehouse fails,N/A,_get_area_supervisor_for_store() failure silently swallowed; approval queue not created,Bug,High,HIGH,Store order submitted with no approver notified; order sits in limbo
GAP-021,Finance,Monthly billing queries docstatus=1 on non-submittable DocType,N/A,BEI Billing Schedule is NOT submittable; query for docstatus=1 reads zero records,Bug,High,HIGH,Billing schedule may return empty data if query relies on docstatus
GAP-022,Store Ops,POS Upload: gross_sales/net_sales never populated,/dashboard/store-ops/pos exists,upload_pos_data inserts BEI POS Upload but does not populate gross_sales/net_sales,Bug,High,HIGH,POS data uploaded but financial fields are empty; dashboard analytics inaccurate
GAP-023,HR Management / Projects,DOLE Compliance: DocType exists zero API/frontend in HR,No management page,bei_dole_compliance_checklist DocType exists in hr_mgmt; no API endpoints,Feature Gap,High,HIGH,DOLE compliance tracking unimplemented in app
GAP-024,HR Management,Exit Interview: DocType exists zero API/frontend in HR mgmt,No frontend page,bei_exit_interview_question/response have no API in hr_mgmt,Feature Gap,High,HIGH,Exit interview not surfaced in HR management module
GAP-025,Cross-cutting,ERP Sync Bank Accounts: log only,N/A,erp_sync.sync_bank_accounts only logs,Backend Stub,High,HIGH,Bank accounts never created via sync
GAP-026,Hire-to-Onboard,MRF → Hiring Manager: no notification,N/A,No GChat/email when MRF created; Hiring Manager must poll,Integration,High,HIGH,MRFs sit unnoticed without push notification
GAP-027,Hire-to-Onboard,MRF Hiring Manager → HR Manager: no notification,N/A,Status changes silently via db_set; no notification between stages,Integration,High,HIGH,HR Managers unaware of MRFs pending their review
GAP-028,Clock-In to Pay,Overtime approve/reject frontend,No /hr/overtime/page.tsx,Backend fully built; no frontend,Frontend,High,HIGH,Confirmed in flow analysis (BL-03)
GAP-029,Warehouse,get_vehicles response format mismatch,Trip Wizard Step 2 expects flat array of strings,get_vehicles returns dict {"vehicles": [{...}]},Bug,High,HIGH,Vehicle dropdown always falls back to free-text input
GAP-030,Projects,Preventive Maintenance: no implementation,No frontend no API no DocType,Nothing implemented,Feature Gap,High,HIGH,Sprint 04 item; all maintenance is reactive; no scheduled PM
GAP-031,Projects / Warehouse,Mall Permits: 5 live endpoints zero frontend,No create/edit/expiring/summary pages,permits.create_permit update_permit get_expiring_permits get_permit_summary all LIVE,Frontend,High,HIGH,Permit management requires Frappe Desk
GAP-032,Store Ops / Projects,Maintenance Request: no notification to Projects on creation,N/A,submit_maintenance_request comment says Notifies Projects team but no GChat sent,Bug,High,HIGH,Urgent requests sit unnoticed for hours
GAP-033,Projects,Maintenance charge: no notification to Store Supervisor,N/A,set_maintenance_charge sets status=Pending Acknowledgement but sends no GChat,Bug,High,HIGH,Charges go unacknowledged; billing cycle delayed
GAP-034,Expenses/PCF,ML model absent on EC2,N/A,.joblib file not deployed; ML tier silently skipped; classification falls to OpenAI or manual,Deployment,High,HIGH,Review queue floods if Gemini+OpenAI also absent
GAP-035,Expenses/PCF,PCF admin panel: no frontend,No create_pcf_fund / update_pcf_settings / assign_pcf_custodian pages,Backend LIVE,Frontend,High,HIGH,PCF setup requires Frappe Desk; non-technical admins blocked
GAP-036,Expenses/PCF,PCF replenishment lifecycle,Replenishment button sets flag only,request_replenishment() sets flag; no GL entry no cheque tracking,Design,High,HIGH,No trackable lifecycle: Requested → Processed → Posted
GAP-037,Supervisor Tools,Coverage request approve: not wired in queue,use-supervisor-queue.ts has no approveCoverage handler,supervisor.approve_item exists but FE wires via type-specific routes only,Frontend,High,HIGH,Coverage requests cannot be approved from unified queue
GAP-038,Supervisor Tools,Supervisor landing page missing,No /dashboard/supervisor/page.tsx,get_area_dashboard called from visits page dual-mode,Frontend,High,HIGH,Area supervisors have no dedicated home dashboard
GAP-039,HR Self-Service,Leave rejection balance correction,N/A,reject_correction uses db_set; balance never corrected,Bug,High,HIGH,Rejected leave does not release balance
GAP-040,Hire-to-Onboard,CEO MRF approval uses System Manager role,N/A,approve_mrf Pending CEO stage checks System Manager not actual CEO role,Bug,Medium,HIGH,Any System Manager can approve senior hires; governance bypass
GAP-041,Procurement,EWT JV: wrong AP account (2101001 vs 2101101),N/A,mark_payment_complete hardcodes AP-Others; party on both rows violates DM-1,Bug,Medium,HIGH,Incorrect GL; reconciliation errors; DM-1 violation
GAP-042,Procurement,G-046 not visible in Procurement module,No procurement FE shows inter-company invoice status,G-046 in commissary.py; not accessible from procurement,Integration,High,HIGH,Procurement team cannot audit inter-company transactions
GAP-043,Procurement,Advance subsidiary ledger supplier name/ID mismatch,N/A,get_advance_subsidiary_ledger queries by supplier_name; get_outstanding_advances uses supplier ID,Bug,Medium,HIGH,Supplier drill-down returns wrong data
GAP-044,Commissary,QC Form tab not wired in quality frontend,/quality page shows FQI Report only; QC Form tab absent,submit_qc_form get_qc_forms get_qc_form_detail all LIVE,Frontend,Medium,HIGH,QC forms can only be submitted via API not UI
GAP-045,Commissary,Requisition approval UI for SCM manager,No approve/reject UI for SCM manager,approve_requisition LIVE with RBAC,Frontend,Medium,HIGH,SCM manager cannot approve RM requisitions from app
GAP-046,Cross-cutting,G-046 failures silently logged,N/A,_create_intercompany_invoices_async only calls frappe.log_error on PI failure; no GChat,Bug,High,HIGH,Inter-company invoices can go uncreated silently
GAP-047,Finance,AP Aging: no dedicated page,No /dashboard/accounting/ap-aging/ page,get_ap_aging_report get_supplier_aging LIVE,Frontend,Medium,MEDIUM,AP aging buried in dashboard widget only
GAP-048,Finance,OR Follow-up: no actual notification sent,FE shows Send Follow-up button,send_or_follow_up increments counter + logs comment but sends nothing,Bug,Medium,MEDIUM,Supplier never receives follow-up communication
GAP-049,HR Management,Payroll comparison is a stub,/hr/payroll APEX comparison tab exists,get_payroll_comparison has explicit TODO; returns Frappe data labeled as APEX,Backend Stub,Medium,MEDIUM,HR Manager sees misleading comparison
GAP-050,HR Self-Service,OB Cancel: no self-service UI,No cancel button/page,official_business.cancel_ob LIVE,Frontend,Medium,MEDIUM,Employee cannot cancel their own OB from app
GAP-051,HR Self-Service,Coverage Request approve flow,No FE for supervisor to view/approve coverage requests,coverage.approve_coverage get_coverage_requests LIVE,Frontend,Medium,MEDIUM,Supervisor files requests but can't manage them
GAP-052,HR Self-Service,Training compliance: frontend uses mock,Compliance tab uses hardcoded mock data,hr_reports.get_training_completion_by_store LIVE,Frontend-Backend mismatch,Medium,MEDIUM,HR sees fake compliance data
GAP-053,Supervisor Tools,Queue approve_item ref-doc update swallows errors,N/A,try/except: pass on ref doc update; BEI Approval Queue approved but source doc NOT updated,Bug,Medium,MEDIUM,Silent failure: order approved in queue but status not updated
GAP-054,Supervisor Tools,Queue escalate: no notification,Escalate button present for onboarding-type only,escalate_item changes assigned_approver but sends no notification,Integration,Medium,MEDIUM,Escalated approver has no alert
GAP-055,Supervisor Tools,Action plan overdue: no auto-status update,get_action_plans shows overdue count,No scheduler to transition Open → Overdue when due_date < today,Feature Gap,Medium,MEDIUM,Status inconsistency between displayed count and actual DB status
GAP-056,Supervisor Tools,Biometric punch review for remote employees,No frontend page,No endpoint in supervisor.py for punch/biometric review,Feature Gap,High,MEDIUM,Biometric monitoring exists but not wired into supervisor tools
GAP-057,Inventory,Shelf life extension approval: no frontend,No FE page for supervisors,approve_shelf_extension LIVE,Frontend,Medium,MEDIUM,Supervisors must use Frappe Desk
GAP-058,Inventory,COS RECON export: no frontend,No FE page,export_count_to_cos_recon LIVE,Frontend,Medium,MEDIUM,Finance cannot download xlsx from app
GAP-059,Inventory,Cycle count reconciliation: no frontend,No FE page,mark_cycle_count_reconciled LIVE,Frontend,Medium,MEDIUM,Finance cannot close cycle count workflow from app
GAP-060,Inventory,Variance resolution endpoint unconfirmed,FE has resolution dialog,Endpoint name not confirmed; may not exist,Verify,High,MEDIUM,Variance management page has modal but unclear API wiring
GAP-061,Store Ops,Trip creation and departure: no frontend,No store-ops or warehouse FE page,dispatch.create_trip dispatch.confirm_departure LIVE,Frontend,High,MEDIUM,Warehouse/dispatch cannot create trips from app; Frappe Desk required
GAP-062,Store Ops,Store returns from receiving: no FE entry point,No return this delivery flow from receiving page,create_store_return LIVE,Frontend,Medium,MEDIUM,Store staff who receive damaged goods have no direct return flow
GAP-063,Store Ops,FQI severity field mismatch,FE sends severity (critical/major/minor),Backend ignores severity; not stored on BEI FQI Report,Data Loss,Medium,MEDIUM,All FQIs appear equal priority; severity data silently dropped
GAP-064,Warehouse,Driver selector in Trip Wizard: free-text only,Driver field is free-text Input,get_driver_list get_available_drivers exist but not called in wizard,Integration,Medium,MEDIUM,Dispatcher types driver name manually; no validation against Employee master
GAP-065,Warehouse,Billing pages unknown backend,/billing and /billing/3pl-reconciliation pages exist,No billing-specific API found in warehouse.py,Unclear,Medium,MEDIUM,Pages may be placeholders
GAP-066,Commissary,BOM management: no dedicated UI,No /commissary/bom page,4 BOM endpoints LIVE,Frontend,Medium,MEDIUM,Commissary supervisor cannot browse all BOMs
GAP-067,Commissary,get_vehicles vehicle dropdown always text input,Trip Wizard Step 2,Same format mismatch as GAP-029 from commissary perspective,Bug,Medium,MEDIUM,Vehicle selection broken from commissary Trip Wizard
GAP-068,Cross-cutting,Unread announcement count hardcoded,Communication hub shows 2 unread static,get_unread_announcements LIVE,Frontend,Medium,MEDIUM,Users see fake stats
GAP-069,Cross-cutting,Announcement admin create UI,No admin FE page,create_announcement LIVE (Sprint 06),Frontend,Medium,MEDIUM,HR Manager cannot create announcements from app
GAP-070,Cross-cutting,Support ticket: no admin view,Submitter-only views exist,No endpoints for ticket assignment/status by admin,Backend,Medium,MEDIUM,IT support cannot manage tickets from app
GAP-071,Cross-cutting,COE custom print format,generate_coe uses generic Frappe print format,No custom COE template,Asset,Medium,MEDIUM,PDF not professional
GAP-072,Cross-cutting,ADMS base URL hardcoded,N/A,ADMS_BASE_URL = http://localhost:8080 hardcoded in employee_clearance.py,Config,Medium,MEDIUM,If ADMS port changes code edit required
GAP-073,Cross-cutting,boarding_status never set to Completed,N/A,Employee Separation boarding_status field never marked Completed; duplicate GChat alerts fire,Bug,Medium,MEDIUM,Repeated separation notifications to Finance
GAP-074,Projects,Incident Report: DocType exists zero API/frontend,No frontend page,No API in projects.py or elsewhere,Feature Gap,Medium,MEDIUM,DocType structurally exists but no workflow
GAP-075,Projects,Coaching Log → Performance Review link missing,N/A,No linked_appraisal field on BEI Coaching Log,Design,Medium,MEDIUM,Coaching history not surfaced in performance review
GAP-076,HR Management,Enrichment reminder via GChat: dead code,N/A,send_enrichment_reminders method=chat loop never executes; only email works,Bug,Medium,MEDIUM,GChat reminders silently not sent
GAP-077,Procurement,Supplier duplicates/data quality: no dedicated page,No /procurement/audit/supplier-quality/,get_supplier_duplicates get_supplier_data_quality LIVE,Frontend,Medium,MEDIUM,Critical audit controls have no monitoring UI
GAP-078,Finance,doc_events not wired to BEI billing,N/A,hooks.py Payment Entry / JV events call upstream expense_claim handlers not BEI billing,Automation,Medium,MEDIUM,Payment Entry lifecycle not linked to BEI Payment Request status
GAP-079,Finance,Finance reports frontend missing,/dashboard/reports/ has tasks only,No billing/AP/expense reports route,Frontend,Medium,MEDIUM,Finance has no consolidated reports section
GAP-080,Warehouse,_build_trip_doc does not copy estimated_minutes,N/A,ETA always uses 20 min/stop default; per-stop estimated_minutes from route not propagated,Bug,Low,MEDIUM,ETA calculation always inaccurate
GAP-081,Store Ops,Opening/closing checklists hardcoded,Checklist items hardcoded in page.tsx arrays,N/A,Design,Low,MEDIUM,Ops team cannot update checklists without code deployment
GAP-082,Inventory,Inventory hub stats hardcoded,2 pending / 0 pending static strings,N/A,Bug,Medium,MEDIUM,Users see stale/fake stats on hub page
GAP-083,HR Self-Service,Roster/Shift Calendar: not on Next.js,No equivalent in bei-tasks,roster.py LIVE but not called by Next.js,Frontend,High,MEDIUM,Employees on my.bebang.ph cannot view roster
GAP-084,HR Self-Service / Store Ops,BEI Approval Queue: not created when approval routing fails,N/A,Exception swallowed; no queue entry created,Bug,High,MEDIUM,Order in Approved status with no queue entry; approver unaware
GAP-085,HR Management,bulk_import_gov_ids only via script,No FE page,API exists; requires csv_content param,Frontend,Low,MEDIUM,HR cannot bulk-import gov IDs without developer
GAP-086,Projects,Maintenance multi-photo completion truncated,N/A,record_maintenance_completion saves only after_photos[0]; rest silently discarded,Bug,Medium,MEDIUM,Only one proof photo retained
GAP-087,Projects,Maintenance status bypass: Assigned→Pending Acknowledgement,N/A,Valid transition allows skipping Completed state; after_photo requirement bypassed,Bug,Medium,MEDIUM,Completion record + photo requirement effectively optional
GAP-088,Projects,Internal store charges never billed,N/A,generate_monthly_billing only includes Full/Managed Franchise; Internal stores excluded,Bug,Medium,MEDIUM,Internal store charges orphaned at billing_status=Not Billed
GAP-089,Finance,3PL JE idempotency: duplicate JE possible,FE has no guard,create_3pl_payment_request does not check if JE for period+partner already exists,Bug,Medium,MEDIUM,Finance can accidentally create duplicate JEs for same period
GAP-090,Finance,Monthly billing: no manual trigger UI,N/A,No Generate Now button; cron only,Frontend,Medium,MEDIUM,Finance cannot re-run billing for corrected period
GAP-091,Store Ops / Inventory,inventory.ordering page uses simplified API,/dashboard/inventory/ordering,May call v1 item list without suggested_qty is_oos unit_price,Verify,Medium,MEDIUM,Inventory ordering may show different data than store-ops ordering
GAP-092,Warehouse / Finance,Delivery billing auto-creation from Trip submit,N/A,No doc_events hook on BEI Distribution Trip to auto-create BEI Billing Schedule,Design,High,MEDIUM,Delivery billings must be created manually
GAP-093,Store Ops,ordering.py deprecated proxies still in use,/api/ordering still called,3 deprecated proxy functions log deprecation warnings,Tech Debt,Low,LOW,Logs polluted; should call /api/store directly
GAP-094,Inventory,Returns: Material Issue vs Material Transfer inconsistency,N/A,submit_return_request creates Material Issue (no destination); create_store_return creates Material Transfer,Logic,Medium,LOW,Finance GL treatment differs between return paths
GAP-095,Expenses/PCF,validate_pcf_batch hook is no-op,N/A,Handler body is pass; misleading,Code Quality,Low,LOW,Dead code in hooks
GAP-096,Expenses/PCF,on_batch_update hook is no-op,N/A,Handler body is pass,Code Quality,Low,LOW,Dead code in hooks
