"issue_id","severity","category","evidence","root_cause","recommendation","owner","target_stage","kind"
"API-026","HIGH","module_drift","app/api/commissary/route.ts:780","Method exists in backend under a different module path.","Remap endpoint to `hrms.api.commissary_requisition.start_work_order`.","hrms+portal","Stage 02/03","api"
"API-027","HIGH","module_drift","app/api/commissary/route.ts:800","Method exists in backend under a different module path.","Remap endpoint to `hrms.api.commissary_requisition.complete_work_order`.","hrms+portal","Stage 02/03","api"
"API-028","HIGH","module_drift","app/api/commissary/route.ts:820","Method exists in backend under a different module path.","Remap endpoint to `hrms.api.commissary_quality.create_quality_inspection`.","hrms+portal","Stage 02/03","api"
"API-029","HIGH","module_drift","app/api/commissary/route.ts:846","Method exists in backend under a different module path.","Remap endpoint to `hrms.api.commissary_quality.log_wastage`.","hrms+portal","Stage 02/03","api"
"API-030","INFO","resolved","app/api/hr/[...slug]/route.ts:10","Backend compliance endpoints now implemented.","Resolved by adding hrms.api.compliance module and explicit method map.","hrms+portal","Stage 03","api"
"API-031","INFO","resolved","app/api/hr/[...slug]/route.ts:11","Missing backend method implemented.","Resolved by adding employee_clearance analytics endpoint.","hrms+portal","Stage 03","api"
"API-032","INFO","resolved","app/api/hr/[...slug]/route.ts:12","Missing backend method implemented.","Resolved by adding employee_clearance team separations endpoint.","hrms+portal","Stage 03","api"
"API-033","INFO","stale","app/api/hr/[...slug]/route.ts:13","False positive from static endpoint extraction context.","Classified stale: namespace reference in route inventory, backend endpoint already exists.","hrms+portal","Stage 03","api"
"API-034","INFO","stale","app/api/hr/[...slug]/route.ts:19","False positive from static endpoint extraction context.","Classified stale: namespace reference in route inventory, backend endpoint already exists.","hrms+portal","Stage 03","api"
"API-035","INFO","resolved","app/api/hr/[...slug]/route.ts:20","Route endpoint path normalized to module.method format.","Resolved by using explicit module path for current employee lookup.","hrms+portal","Stage 03","api"
"API-036","HIGH","malformed_endpoint","app/api/hr/compliance/route.ts:10","Malformed API method string in frontend reference.","Fix method string to full path format: hrms.api.<module>.<method>.","hrms+portal","Stage 02/03","api"
"API-037","HIGH","malformed_endpoint","app/api/hr/compliance/route.ts:38","Malformed API method string in frontend reference.","Fix method string to full path format: hrms.api.<module>.<method>.","hrms+portal","Stage 02/03","api"
"API-038","HIGH","malformed_endpoint","app/api/hr/exit-interview/route.ts:10","Malformed API method string in frontend reference.","Fix method string to full path format: hrms.api.<module>.<method>.","hrms+portal","Stage 02/03","api"
"API-039","HIGH","malformed_endpoint","app/api/hr/exit-interview/route.ts:39","Malformed API method string in frontend reference.","Fix method string to full path format: hrms.api.<module>.<method>.","hrms+portal","Stage 02/03","api"
"API-040","HIGH","malformed_endpoint","app/api/pcf/route.ts:10","Malformed API method string in frontend reference.","Fix method string to full path format: hrms.api.<module>.<method>.","hrms+portal","Stage 02/03","api"
"API-041","HIGH","malformed_endpoint","app/api/pcf/route.ts:47","Malformed API method string in frontend reference.","Fix method string to full path format: hrms.api.<module>.<method>.","hrms+portal","Stage 02/03","api"
"API-042","HIGH","malformed_endpoint","app/api/projects/my-requests/route.ts:38","Malformed API method string in frontend reference.","Fix method string to full path format: hrms.api.<module>.<method>.","hrms+portal","Stage 02/03","api"
"API-043","INFO","stale","app/api/supervisor/dashboard/route.ts:42","Reference came from static docs/comment parsing.","Classified stale: library namespace reference, not a missing backend endpoint.","hrms+portal","Stage 03","api"
"API-044","INFO","stale","app/api/supervisor/pending-reports/route.ts:42","Reference came from static docs/comment parsing.","Classified stale: library namespace reference, not a missing backend endpoint.","hrms+portal","Stage 03","api"
"API-045","HIGH","malformed_endpoint","app/dashboard/attendance/punch/page.tsx:70","Malformed API method string in frontend reference.","Fix method string to full path format: hrms.api.<module>.<method>.","hrms+portal","Stage 02/03","api"
"API-046","HIGH","malformed_endpoint","app/dashboard/attendance/punch/review/page.tsx:95","Malformed API method string in frontend reference.","Fix method string to full path format: hrms.api.<module>.<method>.","hrms+portal","Stage 02/03","api"
"API-047","HIGH","malformed_endpoint","hooks/use-compliance.ts:7","Malformed API method string in frontend reference.","Fix method string to full path format: hrms.api.<module>.<method>.","hrms+portal","Stage 02/03","api"
"API-048","HIGH","malformed_endpoint","hooks/use-exit-interview.ts:7","Malformed API method string in frontend reference.","Fix method string to full path format: hrms.api.<module>.<method>.","hrms+portal","Stage 02/03","api"
"API-049","HIGH","malformed_endpoint","hooks/use-finance-reports.ts:7","Malformed API method string in frontend reference.","Fix method string to full path format: hrms.api.<module>.<method>.","hrms+portal","Stage 02/03","api"
"API-050","HIGH","malformed_endpoint","hooks/use-form-2307.ts:7","Malformed API method string in frontend reference.","Fix method string to full path format: hrms.api.<module>.<method>.","hrms+portal","Stage 02/03","api"
"API-051","HIGH","malformed_endpoint","hooks/use-pcf.ts:7","Malformed API method string in frontend reference.","Fix method string to full path format: hrms.api.<module>.<method>.","hrms+portal","Stage 02/03","api"
"API-052","HIGH","malformed_endpoint","lib/clearance/api.ts:5","Malformed API method string in frontend reference.","Fix method string to full path format: hrms.api.<module>.<method>.","hrms+portal","Stage 02/03","api"
"API-053","HIGH","malformed_endpoint","lib/queries/hr-transfers.ts:3","Malformed API method string in frontend reference.","Fix method string to full path format: hrms.api.<module>.<method>.","hrms+portal","Stage 02/03","api"
